System Qty:,25,,,,,,,,,Price/quantity,,,,,,,,,,,,price per,,,,,,,,,ext price,,,,,,,,
Cost/System,$36.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Name,Pad,Component Qty/System,Component Qty to Order,Link,Alternate Link,,,,1,5,10,25,50,100,500,1000,,,,,1,5,10,25,50,100,500,1000,,1,5,10,25,50,100,500,1000,best value
400 mAh Battery,PRT-13851,BT1,1,25,https://www.digikey.com/product-detail/en/sparkfun-electronics/PRT-13851/1568-1493-ND/6605199,https://www.sparkfun.com/products/13851,,,,4.95,,,,,,,,,,,25,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,,4.95,4.95,4.95,4.95,9.9,19.8,99,198,4.95
3 segment screen,VI-321-DP-RC-S,DS1,1,25,https://www.digikey.com/product-detail/en/varitronix/VI-321-DP-RC-S/153-1101-ND/531266,,,,,6.3,,5.25,,,3.68,3.045,2.793,,,,25,6.3,6.3,5.25,5.25,5.25,3.68,3.045,2.793,,6.3,6.3,5.25,5.25,10.5,14.72,60.9,111.72,5.25
USB header,USB4110-GF-A,J1,1,10,https://www.digikey.com/product-detail/en/gct/USB4110-GF-A/2073-USB4110-GF-A-1-ND/10384548,,,,,1.37,,1.25,1.69,1.12,1.067,0.88936,,,,,25,1.37,1.37,1.25,1.69,1.12,1.067,0.88936,0.88936,,1.37,1.37,1.25,1.69,2.24,4.268,17.7872,35.5744,1.25
200g accel,H3LIS200DLTR,U1,1,25,https://www.digikey.com/product-detail/en/stmicroelectronics/H3LIS200DLTR/497-15698-1-ND/5267984,,,,,7.34,,6.63,6.34,,5.49,4.78252,4.16543,,,,25,7.34,7.34,6.63,6.34,6.34,5.49,4.78252,4.16543,,7.34,7.34,6.63,6.34,12.68,21.96,95.6504,166.6172,6.34
SAML21J,ATSAML21J16B-AUT,U2,1,25,https://www.digikey.com/product-detail/en/microchip-technology/ATSAML21J16B-AUT/ATSAML21J16B-AUTCT-ND/5702310,,,,,3.32,,,3.02,,2.73,,,,,,25,3.32,3.32,3.32,3.02,3.02,2.73,2.73,2.73,,3.32,3.32,3.32,3.02,6.04,10.92,54.6,109.2,3.02
PMIC/LDO,BQ25155YFPT,U3,1,25,https://www.digikey.com/product-detail/en/texas-instruments/BQ25155YFPT/296-BQ25155YFPTCT-ND/10435202,,,,,3.31,,2.98,2.81,,2.31,,,,,,25,3.31,3.31,2.98,2.81,2.81,2.31,2.31,2.31,,3.31,3.31,2.98,2.81,5.62,9.24,46.2,92.4,2.81
1 uF 0805,CC0805KKX7R7BB105,"C1,C9",2,100,https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149,,,,,0.18,,0.13,,,0.0611,,0.03544,,,,50,0.18,0.18,0.13,0.13,0.13,0.0611,0.0611,0.03544,,0.36,0.36,0.26,0.26,0.26,0.2444,1.222,1.4176,0.2444
2.2uF 0805,GCM21BR71E225KA73L,C2,1,25,https://www.digikey.com/product-detail/en/murata-electronics/GCM21BR71E225KA73K/490-14744-1-ND/6606350,,,,,0.64,,0.453,,,0.298,0.22076,0.18764,,,,25,0.64,0.64,0.453,0.453,0.453,0.298,0.22076,0.18764,,0.64,0.64,0.453,0.453,0.906,1.192,4.4152,7.5056,0.453
10uF 0805,GRM21BR61E106KA73L,"C4,C5",2,50,https://www.digikey.com/product-detail/en/murata-electronics/GRM21BR61E106KA73K/490-16824-1-ND/7595732,,,,,0.46,,0.322,,,0.193,0.14476,0.12224,,,,50,0.46,0.46,0.322,0.322,0.322,0.193,0.14476,0.12224,,0.92,0.92,0.644,0.644,0.644,0.772,2.8952,4.8896,0.644
